Name,Sector,Num_Employees,Industry,End_Fiscal_Year
"PulteGroup, Inc.",Consumer Cyclical,6382,Residential Construction,2024-12-31
Packaging Corporation of America,Consumer Cyclical,14900,Packaging & Containers,2024-12-31
"Prologis, Inc.",Real Estate,2574,REIT - Industrial,2024-12-31
Philip Morris International Inc.,Consumer Defensive,82700,Tobacco,2024-12-31
"The PNC Financial Services Group, Inc.",Financial Services,54441,Banks - Regional,2024-12-31
Pentair plc,Industrials,10500,Specialty Industrial Machinery,2024-12-31
Pinnacle West Capital Corporation,Utilities,6133,Utilities - Regulated Electric,2024-12-31
Insulet Corporation,Healthcare,3000,Medical Devices,2024-12-31
Pool Corporation,Industrials,6000,Industrial Distribution,2024-12-31
"PPG Industries, Inc.",Basic Materials,50000,Specialty Chemicals,2024-12-31
PPL Corporation,Utilities,6629,Utilities - Regulated Electric,2024-12-31
"Prudential Financial, Inc.",Financial Services,40366,Insurance - Life,2024-12-31
Public Storage,Real Estate,6200,REIT - Industrial,2024-12-31
Phillips 66,Energy,14000,Oil & Gas Refining & Marketing,2024-12-31
PTC Inc.,Technology,7168,Software - Application,2024-09-30
"Quanta Services, Inc.",Industrials,52500,Engineering & Construction,2024-12-31
"PayPal Holdings, Inc.",Financial Services,27200,Credit Services,2024-12-31
QUALCOMM Incorporated,Technology,50000,Semiconductors,2024-09-24
"Qorvo, Inc.",Technology,8500,Semiconductors,2024-04-01
Royal Caribbean Cruises Ltd.,Consumer Cyclical,98100,Travel Services,2024-12-31
Regency Centers Corporation,Real Estate,492,REIT - Retail,2024-12-31
"Regeneron Pharmaceuticals, Inc.",Healthcare,13450,Biotechnology,2024-12-31
Regions Financial Corporation,Financial Services,20101,Banks - Regional,2024-12-31
Robert Half Inc.,Industrials,15000,Staffing & Employment Services,2024-12-31
"Raymond James Financial, Inc.",Financial Services,18000,Capital Markets,2024-09-30
Ralph Lauren Corporation,Consumer Cyclical,14900,Apparel Manufacturing,2024-04-01
ResMed Inc.,Healthcare,0,Medical Instruments & Supplies,2022-06-30
"Rockwell Automation, Inc.",Industrials,29000,Specialty Industrial Machinery,2024-09-30
"Rollins, Inc.",Consumer Cyclical,19031,Personal Services,2024-12-31
"Roper Technologies, Inc.",Technology,16800,Software - Application,2024-12-31
"Ross Stores, Inc.",Consumer Cyclical,108000,Apparel Retail,2025-02-03
"Republic Services, Inc.",Industrials,41000,Waste Management,2024-12-31
RTX Corporation,Industrials,185000,Aerospace & Defense,2024-12-31
"Revvity, Inc.",Healthcare,11500,Diagnostics & Research,2024-12-31
SBA Communications Corporation,Real Estate,1787,REIT - Specialty,2024-12-31
Starbucks Corporation,Consumer Cyclical,381000,Restaurants,2024-10-01
The Charles Schwab Corporation,Financial Services,32600,Capital Markets,2024-12-31
The Sherwin-Williams Company,Basic Materials,64088,Specialty Chemicals,2024-12-31
The J. M. Smucker Company,Consumer Defensive,5800,Packaged Foods,2024-04-30
Schlumberger Limited,Energy,111000,Oil & Gas Equipment & Services,2024-12-31
"Super Micro Computer, Inc.",Technology,5126,Computer Hardware,2024-06-30
Snap-on Incorporated,Industrials,13200,Tools & Accessories,2024-12-30
"Synopsys, Inc.",Technology,20300,Software - Infrastructure,2024-10-31
The Southern Company,Utilities,27819,Utilities - Regulated Electric,2024-12-31
Solventum Corporation,Healthcare,0,Health Information Services,2024-12-31
"Simon Property Group, Inc.",Real Estate,2500,REIT - Retail,2024-12-31
S&P Global Inc.,Financial Services,40450,Financial Data & Stock Exchanges,2024-12-31
Sempra,Utilities,16835,Utilities - Diversified,2024-12-31
STERIS plc,Healthcare,17000,Medical Devices,2024-03-31
"Steel Dynamics, Inc.",Basic Materials,12600,Steel,2024-12-31
State Street Corporation,Financial Services,42786,Asset Management,2024-12-31
Seagate Technology Holdings plc,Technology,33400,Computer Hardware,2024-06-30
"Constellation Brands, Inc.",Consumer Defensive,0,Beverages - Wineries & Distilleries,2025-02-28
"Stanley Black & Decker, Inc.",Industrials,50500,Tools & Accessories,2024-12-30
"Skyworks Solutions, Inc.",Technology,9750,Semiconductors,2024-09-29
Synchrony Financial,Financial Services,20000,Credit Services,2024-12-31
Stryker Corporation,Healthcare,52000,Medical Devices,2024-12-31
Sysco Corporation,Consumer Defensive,72000,Food Distribution,2024-07-01
AT&T Inc.,Communication Services,149900,Telecom Services,2024-12-31
Molson Coors Beverage Company,Consumer Defensive,16500,Beverages - Brewers,2024-12-31
TransDigm Group Incorporated,Industrials,15500,Aerospace & Defense,2024-09-30
Teledyne Technologies Incorporated,Technology,14900,Scientific & Technical Instruments,2024-12-31
Bio-Techne Corporation,Healthcare,3200,Biotechnology,2024-06-30
TE Connectivity Ltd.,Technology,85000,Electronic Components,2024-09-29
"Teradyne, Inc.",Technology,6500,Semiconductor Equipment & Materials,2024-12-31
Truist Financial Corporation,Financial Services,49037,Banks - Regional,2024-12-31
Teleflex Incorporated,Healthcare,14500,Medical Instruments & Supplies,2024-12-31
Target Corporation,Consumer Defensive,415000,Discount Stores,2025-02-03
"The TJX Companies, Inc.",Consumer Cyclical,349000,Apparel Retail,2025-02-03
Thermo Fisher Scientific Inc.,Healthcare,122000,Diagnostics & Research,2024-12-31
"T-Mobile US, Inc.",Communication Services,67000,Telecom Services,2024-12-31
"Tapestry, Inc.",Consumer Cyclical,12600,Luxury Goods,2024-07-01
Targa Resources Corp.,Energy,3182,Oil & Gas Midstream,2024-12-31
Trimble Inc.,Technology,12700,Scientific & Technical Instruments,2024-12-29
"T. Rowe Price Group, Inc.",Financial Services,7906,Asset Management,2024-12-31
"The Travelers Companies, Inc.",Financial Services,32967,Insurance - Property & Casualty,2024-12-31
Tractor Supply Company,Consumer Cyclical,25000,Specialty Retail,2024-12-30
"Tesla, Inc.",Consumer Cyclical,140473,Auto Manufacturers,2024-12-31
"Tyson Foods, Inc.",Consumer Defensive,139000,Farm Products,2024-09-30
Trane Technologies plc,Industrials,40000,Building Products & Equipment,2024-12-31
"Take-Two Interactive Software, Inc.",Communication Services,11580,Electronic Gaming & Multimedia,2024-03-31
Texas Instruments Incorporated,Technology,34000,Semiconductors,2024-12-31
Textron Inc.,Industrials,35000,Aerospace & Defense,2024-12-30
"Tyler Technologies, Inc.",Technology,7300,Software - Application,2024-12-31
"United Airlines Holdings, Inc.",Industrials,104500,Airlines,2024-12-31
"Uber Technologies, Inc.",Technology,30400,Software - Application,2024-12-31
"UDR, Inc.",Real Estate,1397,REIT - Residential,2024-12-31
"Universal Health Services, Inc.",Healthcare,73350,Medical Care Facilities,2024-12-31
"Ulta Beauty, Inc.",Consumer Cyclical,20000,Specialty Retail,2025-02-03
UnitedHealth Group Incorporated,Healthcare,440000,Healthcare Plans,2024-12-31
Union Pacific Corporation,Industrials,32973,Railroads,2024-12-31
"United Parcel Service, Inc.",Industrials,265100,Integrated Freight & Logistics,2024-12-31
"United Rentals, Inc.",Industrials,26300,Rental & Leasing Services,2024-12-31
U.S. Bancorp,Financial Services,70000,Banks - Regional,2024-12-31
Visa Inc.,Financial Services,0,Credit Services,2022-12-31
VICI Properties Inc.,Real Estate,28,REIT - Diversified,2024-12-31
Valero Energy Corporation,Energy,9886,Oil & Gas Refining & Marketing,2024-12-31
Veralto Corporation,Industrials,15500,Pollution & Treatment Controls,2024-12-31
Vulcan Materials Company,Basic Materials,10961,Building Materials,2024-12-31
"Verisk Analytics, Inc.",Industrials,7500,Consulting Services,2024-12-31
"VeriSign, Inc.",Technology,907,Software - Infrastructure,2024-12-31
Vertex Pharmaceuticals Incorporated,Healthcare,5400,Biotechnology,2024-12-31
"Ventas, Inc.",Real Estate,486,REIT - Healthcare Facilities,2024-12-31
Viatris Inc.,Healthcare,38000,Drug Manufacturers - Specialty & Generic,2024-12-31
Verizon Communications Inc.,Communication Services,105400,Telecom Services,2024-12-31
Westinghouse Air Brake Technologies Corporation,Industrials,29000,Railroads,2024-12-31
Waters Corporation,Healthcare,7900,Diagnostics & Research,2024-12-31
"Walgreens Boots Alliance, Inc.",Healthcare,330000,Pharmaceutical Retailers,2024-08-31
"Warner Bros. Discovery, Inc.",Communication Services,35300,Entertainment,2024-12-31
Western Digital Corporation,Technology,53000,Computer Hardware,2024-06-30
"WEC Energy Group, Inc.",Utilities,7000,Utilities - Regulated Electric,2024-12-31
Welltower Inc.,Real Estate,533,REIT - Healthcare Facilities,2024-12-31
Wells Fargo & Company,Financial Services,224824,Banks - Diversified,2024-12-31
"Waste Management, Inc.",Industrials,48000,Waste Management,2024-12-31
"The Williams Companies, Inc.",Energy,5601,Oil & Gas Midstream,2024-12-31
Walmart Inc.,Consumer Defensive,2100000,Discount Stores,2025-01-31
W. R. Berkley Corporation,Financial Services,8329,Insurance - Property & Casualty,2024-12-31
WestRock Company,Consumer Cyclical,56100,Packaging & Containers,2024-09-30
"West Pharmaceutical Services, Inc.",Healthcare,10600,Medical Instruments & Supplies,2024-12-31
Willis Towers Watson Public Limited Company,Financial Services,48000,Insurance Brokers,2024-12-31
Weyerhaeuser Company,Real Estate,9318,REIT - Specialty,2024-12-31
"Wynn Resorts, Limited",Consumer Cyclical,27800,Resorts & Casinos,2024-12-31
Xcel Energy Inc.,Utilities,11311,Utilities - Regulated Electric,2024-12-31
Exxon Mobil Corporation,Energy,62000,Oil & Gas Integrated,2024-12-31
Xylem Inc.,Industrials,23000,Specialty Industrial Machinery,2024-12-31
"Yum! Brands, Inc.",Consumer Cyclical,35000,Restaurants,2024-12-31
"Zimmer Biomet Holdings, Inc.",Healthcare,18000,Medical Devices,2024-12-31
Zebra Technologies Corporation,Technology,9750,Communication Equipment,2024-12-31
Zoetis Inc.,Healthcare,14100,Drug Manufacturers - Specialty & Generic,2024-12-31
